date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:41	172/172	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Dec%202025%2003:06:41%20GMT	https://eikakyoushitsu.com/robots.txt		(from )
12:06:42	140352/140352	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Dec%202025%2003:06:42%20GMT	https://eikakyoushitsu.com/	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/index.html	(from )
12:06:42	10059/10059	---M--	200	added ('OK')	image/png	etag:%22274b-5f785ab5bd246%22	https://eikakyoushitsu.com/wp-content/uploads/2023/03/tsuchiura_eikasyujikyoushitsu_logo.png	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/wp-content/uploads/2023/03/tsuchiura_eikasyujikyoushitsu_logo.png	(from https://eikakyoushitsu.com/)
12:06:42	2167/2167	---MCZ	200	added ('OK')	application/json	date:Sun,%2021%20Dec%202025%2003:06:42%20GMT	https://eikakyoushitsu.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Feikakyoushitsu.com%2F	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/index1f53.json	(from https://eikakyoushitsu.com/)
12:06:42	2348/2348	---MCZ	200	added ('OK')	text/xml	date:Sun,%2021%20Dec%202025%2003:06:42%20GMT	https://eikakyoushitsu.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Feikakyoushitsu.com%2F&format=xml	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/indexef6f.php	(from https://eikakyoushitsu.com/)
12:06:42	40618/40618	---MCZ	200	added ('OK')	text/css	etag:W/%229eaa-5f4caaffb7686%22	https://eikakyoushitsu.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.0.2	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/wp-content/themes/astra/assets/css/minified/main.min05da.css	(from https://eikakyoushitsu.com/)
12:06:43	119695/119695	---MCZ	200	added ('OK')	text/css	etag:W/%221d38f-64519cc507e0d%22	https://eikakyoushitsu.com/wp-includes/css/dist/block-library/style.min.css?ver=6.9	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/wp-includes/css/dist/block-library/style.mind4d0.css	(from https://eikakyoushitsu.com/)
12:06:43	8769/8769	---MC-	200	added ('OK')	application/rss+xml	etag:%225d961bdd7965850d7f1f2bb3cb5a14a3%22	https://eikakyoushitsu.com/?feed=rss2	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/indexd784.html	(from https://eikakyoushitsu.com/)
12:06:43	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215601-609a9a0d02ab2%22	https://eikakyoushitsu.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://eikakyoushitsu.com/)
12:06:43	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%223509-60277004e2a78%22	https://eikakyoushitsu.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/eikasyuji/eikakyoushitsu.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://eikakyoushitsu.com/)
